Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Wilton,Fairfield,P,6.0,16302.0,193500.0,11.9,9900.0,0.61,20656.0,1.3,204500.0,10.9,281.0,8575.0,0.5,122356.0,7.5,1136153.0,69.69,807213.0,49.52,121341.0,524760.0,840246.0,51.5
1996,Winchester - Beardsley,Litchfield,P,144.0,16179.0,46957.0,2.9,8082.0,0.5,2998.0,0.2,49898.0,2.6,281.0,1083.0,0.1,41714.0,2.6,265968.0,16.44,125000.0,7.73,20165.0,112518.0,159886.0,9.9
1996,Windham - Guilford Sm,Windham,N,167.0,13063.5,1980.0,0.1,817.0,0.04,5810.0,,2800.0,0.1,262.0,5044.5,0.4,10050.0,0.5,22115.0,1.01,2000.0,0.09,3120.0,12378.0,21850.0,1.0
1996,Windham - Willimantic,Windham,P,167.0,23603.0,110000.0,4.7,12470.0,0.53,1960.0,0.1,91430.0,3.2,59.0,731.0,0.0,57298.0,2.4,414435.0,17.56,367373.0,15.56,93994.0,239813.0,376674.0,16.0
1996,Windham Free,Windham,N,167.0,13063.5,8230.0,0.4,596.0,0.03,102.0,0.0,8230.0,0.4,262.0,5044.5,0.4,8512.0,0.4,27202.0,1.25,22600.0,1.03,3808.0,13146.0,21971.0,1.0
1996,Windsor,Hartford,P,57.0,27960.0,238114.0,8.5,16767.0,0.6,33510.0,1.2,303288.0,10.0,462.0,12445.0,0.4,107890.0,3.9,1003019.0,35.87,947960.0,33.9,85554.0,556446.0,742803.0,26.6
1996,Windsor Locks,Hartford,P,66.0,11912.0,55280.0,4.6,4602.0,0.39,5810.0,,44238.0,3.4,115.0,1841.0,0.2,50615.0,4.2,283171.0,23.77,247000.0,20.74,18597.0,138775.0,191913.0,16.1
1996,Wolcott,New Haven,P,121.0,14293.0,43212.0,3.0,4375.0,0.31,5810.0,,66740.0,4.2,164.0,2045.0,0.1,46132.0,3.2,251650.0,17.61,258331.0,18.07,43914.0,132958.0,207891.0,14.5
1996,Woodbridge,New Haven,P,15.0,8091.0,55280.0,4.6,10149.0,1.25,7793.0,1.0,170773.0,14.0,168.0,3338.0,0.4,61653.0,7.6,459095.0,56.74,417706.0,51.63,80614.0,290099.0,410872.0,50.8
1996,Woodbury,Litchfield,P,46.0,8611.0,55280.0,4.6,5905.0,0.69,12768.0,1.5,113053.0,10.8,286.0,6838.0,0.8,59997.0,7.0,272496.0,31.65,262184.0,30.45,48199.0,159621.0,245008.0,28.5
1996,Woodstock - Bracken,Windham,P,100.0,6303.0,3200.0,0.5,2146.0,0.34,6114.0,1.0,14680.0,2.3,40.0,1100.0,0.2,16570.0,2.6,12409.0,1.97,9042.0,1.43,4934.0,5960.0,12392.0,2.0
1996,"Woodstock, East",Windham,N,100.0,13063.5,2600.0,0.4,200.0,0.03,500.0,0.1,6981.0,1.1,262.0,5044.5,0.4,11407.0,1.8,11050.0,1.75,9042.0,1.43,2500.0,3700.0,10684.0,1.7
